,pretty_formula,bandgap,cell_length_a,cell_lentgh_b,cell_lentgh_c,cell_angle_alpha,cell_angle_beta,cell_angle_gamma
1956,Na5LaO4,1.9401000000000002,5.63230300,7.67661300,8.13079800,90.00000000,90.00000000,90.00000000
1957,Hg(TeO3)2,1.9276000000000002,12.80491700,6.57290700,8.67069507,60.45667328,90.00000000,90.00000000
1958,Hf2N2O,1.9263000000000003,8.71262800,8.72778206,8.74461060,109.39599045,109.49587127,109.40139916
1959,Hf2N2O,1.9270000000000005,8.69246400,8.73482917,8.74401619,109.61262327,109.39131429,109.22488194
1960,Na2Cr4O13,1.9087,7.28333700,8.82557400,9.00239866,88.17095169,90.00000000,90.00000000
1961,Hf2N2O,1.9408000000000003,8.71382800,8.72397752,8.74641169,109.47940982,109.43754255,109.30725717
1962,Li2VF5,1.9088000000000003,5.30800100,13.75571400,14.52497532,83.31356567,90.00000000,90.00000000
1963,Li5Co7O3F13,1.9251999999999998,6.03837000,6.09113041,10.58232110,73.37318603,73.47831820,60.48032964
1964,Li3Fe9O5F11,1.9446999999999999,6.14335600,6.22469325,10.33002774,75.36299506,74.34078784,61.35659837
1965,BaGa12O19,1.9291,5.88939502,5.88939502,23.29760500,90.00000000,90.00000000,120.00001151
1966,NaErSe2,1.9423,7.39661521,7.39661521,7.39661484,32.28802190,32.28802190,32.28802278
1967,BaBiBS4,1.9400000000000004,8.21798467,8.21798467,7.73514987,80.20841965,80.20841965,44.90099967
1968,ThNb4O12,1.9434,11.97588008,11.97588008,11.97588008,152.94345047,96.08688022,90.19512719
1969,CoSn(PO4)2,1.9327,4.97569677,11.74688461,11.76052199,118.26404652,89.43069913,90.51324182
1970,VF4,1.9188999999999998,5.10403100,5.92242400,9.69577337,87.80188350,90.00000000,90.00000000
1971,Li2WS4,1.931,6.06981300,6.06981300,5.45009000,90.00000000,90.00000000,90.00000000
1972,Li2Cr2FeSbO8,1.9148000000000005,5.98894800,9.66813984,10.33666095,90.12983274,90.18053476,90.07746199
1973,Au2S,1.9091,5.34712200,5.34712200,5.34712200,90.00000000,90.00000000,90.00000000
